Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Kroslak J.,62,104,7.0,6.0,6.0,2.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Ferreira W.,Johansson T.,53,42,6.0,3.0,6.0,2.0,6.0,7.0,4.0,6.0,6.0,2.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrero J.C.,Tieleman L.,40,89,7.0,6.0,6.0,4.0,5.0,7.0,6.0,7.0,6.0,4.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Fromberg R.,Pretzsch A.,80,115,7.0,6.0,7.0,6.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Grosjean S.,Hill M.,26,238,4.0,6.0,6.0,1.0,7.0,6.0,6.0,0.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Henman T.,Schuettler R.,13,60,6.0,2.0,4.0,1.0,,,,,,,1,0,Retired
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Hewitt L.,Corretja A.,17,30,6.0,0.0,6.0,0.0,6.0,1.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Ilie A.,Novak J.,46,37,6.0,3.0,7.0,6.0,6.0,7.0,6.0,4.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Kafelnikov Y.,Vacek D.,2,44,6.0,3.0,6.0,0.0,6.0,1.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Kiefer N.,Behrend T.,4,106,7.0,6.0,6.0,0.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Koubek S.,Stafford G.,43,472,5.0,7.0,7.0,5.0,2.0,6.0,6.0,2.0,6.0,3.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Mirnyi M.,Dupuis A.,67,98,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Norman M.,Pozzi G.,11,82,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Philippoussis M.,Sluiter R.,19,166,6.0,1.0,2.0,6.0,7.0,6.0,6.0,1.0,,,3,1,Completed
